title,authors,publication_year,doi,source,abstract
"Precision housing dynamics in poultry: AI-driven predictive systems for welfare, behavior, and skeletal health","Mekonnen, Getahun Belay",2026,10.1186/s44364-026-00025-6,https://link.springer.com/,"Precision Housing Dynamics (PHD) was introduced as the first integrated, AI-enabled framework uniting housing design, stocking density, behavioral dynamics, and skeletal health in poultry production. Mechanistic pathways clarified, showing how overcrowding, suboptimal structural design, and environmental stressors interact to drive lameness, panic events, contact dermatitis, breast blisters, and impaired bone integrity. Advanced PLF and AI tools, including computer vision, multimodal sensors, and temporal modeling, were demonstrated to enhance early detection of welfare risks and support real-time, farm-level decision-making. Predictive, cross-system architecture proposed, combining structural, behavioral, microclimate, and skeletal indicators to reduce carcass condemnations and improve product quality across diverse production environments. Sustainability impact highlighted, positioning PHD as a scalable pathway to improved welfare, efficiency, and resilience in alignment with SDG 2 (Zero Hunger) and future-ready poultry production systems. Poultry is the quickest-growing and expanding entry point for animal protein across the globe. But poultry production is not sustainable and cost-efficient, as it suffers from animal welfare issues and poor housing conditions. Moreover, excessive stocking density and bone health problems are other factors that harm efficiency at the poultry production level. The stress that results from keeping too many animals in an environment that cannot provide good living conditions causes harmful behaviors. It also increases the risk of disease. This includes lameness, breast blistering, trampling due to panic, and condemnation. Current research does not offer a system that combines housing design improvements, population density optimizations, and bone health solutions into a single prediction precision model. To fill this gap, we present the PhD concept. PHD integrates structural design with behavior and skeletal health prediction using AI and precision livestock farming (PLF) technologies. This review synthesizes the literature on the effects of population density, optimization of building design, behavioral response, skeletal health management, and AI-based monitoring tools in poultry. This review synthesizes evidence indicating strong associations between housing conditions, stocking density, stress-related behaviors, and skeletal health outcomes. The study also evidence suggests that an AI-based predictive system, when fed to farm animals, has the potential to detect welfare compromises that may support early intervention and disease prevention. The Precision Housing Dynamics (PHD) framework proposed in this study is intended to provide a systems-level decision-support architecture that may support the optimization of poultry welfare, skeletal health, and production performance. In addition, the framework aligns conceptually with broader sustainability objectives and emerging principles of ethical poultry production. The structural, behavioral, and physiological elements combined in PhD allow for data-based preemptive interventions that may help in the construction of poultry housing systems with a more welfare focus and dynamic population, as well as bone health prediction. The framework operates to promote worldwide food security by following SDG2 (Zero Hunger) standards, which establish fundamental conditions for developing sustainable and ethical poultry farming systems on a global scale. Graphical Abstract"
"A review of computational modeling, artificial intelligence, and digital twins in metal casting and foundry operations","Essam, Mahmoud A., Abdeltawab, Noha M., Shihata, Lamia A., Shash, Ahmed Y.",2026,10.1007/s43939-026-00685-5,https://link.springer.com/,"Metal casting is an essential industrial process that consistently encounters issues with energy efficiency, fault minimization, and environmental sustainability. This review presents a cohesive two-dimensional framework that systematically amalgamates physics-based numerical modeling, data-driven Artificial Intelligence (AI), and digital twin methodologies throughout critical phases of the metal casting value chain, encompassing design, mold preparation, pouring, solidification, and finishing. The paradigm facilitates a systematic integration of computational methods, applications, and deployment issues, rather than the fragmented reporting of individual investigations. The paper emphasizes the pivotal role of computational modeling and AI in transforming foundry operations into intelligent and adaptable manufacturing systems. Essential numerical methods, including Finite Element, Finite Volume, Finite Difference, and Boundary Element Methods, are analyzed for their efficacy in modeling mold filling, solidification, and the progression of thermo-mechanical stresses. Microstructure modeling methodologies, including Phase Field, Cellular Automata, and Kinetic Monte Carlo, are evaluated for their efficacy in forecasting grain evolution and phase transitions during solidification. AI-driven techniques, encompassing machine learning algorithms and expert systems, facilitate fault forecasting, process enhancement, and predictive upkeep. Unlike traditional offline simulation models, digital twins are characterized as cyber-physical systems that provide real-time synchronization between physical casting operations and virtual models via bidirectional data sharing and feedback control methods. In the context of Industry 4.0, these technologies utilize Internet of Things (IoT) connection and data-driven analytics to enhance process efficiency and resource usage. Notwithstanding considerable advancements, obstacles persist in data accessibility, the integration of hybrid physics-AI models, the deployment of real-time digital twins, and extensive industrial validation, underscoring critical avenues for future inquiry and practical application."
A digital twin and deep-learning ensemble for cyber attack detection in industrial control systems at the IoT edge,"Sayghe, Ali, Alahmadi, Mohammad D., Gharawi, Abdulrahman A.",2026,10.1038/s41598-026-53863-z,https://link.springer.com/,"Industrial Control Systems (ICS) face escalating cyber threats as adversaries increasingly exploit artificial intelligence (AI) to evade conventional defenses. This paper introduces a Digital Twin-enhanced security framework in which a real-time, physics-consistent virtual replica of the controlled industrial process is synchronized with sensor and actuator telemetry from the physical plant and used to validate, suppress, or confirm anomaly scores produced by a deep-learning ensemble. The physical twin is the closed-loop ICS plant (water treatment, water distribution, or chemical process); the Digital Twin is a state-space process model coupled to an Extended Kalman Filter that predicts the next sensor measurement and emits a residual whenever the observation deviates from the physics-consistent prediction. The detection layer combines this Digital-Twin residual signal with a Long Short-Term Memory (LSTM) autoencoder, an attention-based transformer, and an Isolation Forest, fused through a calibrated weighted score that is gated by the residual, so that purely data-driven anomalies that do not violate physics are downweighted and stealthy attacks that violate physics are escalated. Evaluated on three benchmark datasets (Secure Water Treatment testbed [SWaT], Water Distribution [WADI], and Tennessee Eastman) comprising 56 attack scenarios, the framework achieves 97.6% precision, 96.2% recall, an F1-score of 96.9%, and sub-50 ms inference latency. This corresponds to a 3.2 percentage-point F1-score improvement over the strongest baseline (transformer at 93.7%) and a roughly 50% reduction in residual error. Interpretability is supported through attention visualization and Digital-Twin residual analysis, enabling operators to validate detection outcomes. With native Message Queuing Telemetry Transport (MQTT) and Open Platform Communications Unified Architecture (OPC UA) integration, Byzantine fault-tolerant consensus for distributed deployments, and formal verification of safety properties, the framework supports deployment-oriented protection for critical infrastructure aligned with International Electrotechnical Commission (IEC) 62443-4-2 requirements."
AI and data driven product management for sustainable energy innovations,"Malann, Daniel Chwaifo, Ogungbemi, Ayomide Titus, Ali, Ali B. M., Edo, Great Iruoghene, Emumejaye, Kugbere, Jikah, Agatha Ngukuran, Yousif, Emad, Francis, Uwadia, Owheruo, Joseph Oghenewogaga, Oghroro, Ephraim Evi Alex, Essaghah, Arthur Efeoghene Athan, Ahmed, Dina S., Aliyu, Maryam Rabiu, Umar, Huzaifa, Alamiery, Ahmed A.",2026,10.1007/s44163-026-01452-4,https://link.springer.com/,"Imminent innovations are predicated to become more digitalization empowered and artificial intelligence-driven. The concept of data-driven innovation is also a recently emerging technology. This paper investigates the combined effects of AI and data analytics on energy product innovation, analyzing how AI tools including machine learning (ML), natural language processing (NLP), visualization and reporting tools, and etcetera enhance decision-making, optimize workflow and align product development strategies with consumer preferences. It analyzes how AI and data analytics can assist product managers in making informed decisions about energy product development. Energy corporations have widely adopted AI for enhanced analysis in resource optimization for sustainability. For instance, energy product managers can easily predict changes in demand and follow up on product usage using machine learning algorithms, Internet of Things (IoT) devices and smart meters. When integrated, AI and data analytics tools can aid product managers across energy corporations to gain actionable insights into market trends, consumer sentiments, and conduct predictive, descriptive or prescriptive analytics. Furthermore, the adoption of renewable energy sources by the industry intended for a smoother evolution towards a new energy mix can also be efficiently aided by AI. AI in energy systems will introduce sustainable and cost effective measures for product operations across energy industries. This study reveals that AI’s ability to analyze vast quantities of data for predictive modelling and its segmentation and sentiment analysis can assist product managers in making prompt data-driven decisions concerning energy products."
Toward Cybersecurity Testing and Monitoring of IoT Ecosystems,"Taylor, Steve, Jaatun, Martin Gilje, Omerovic, Aida, Borgaonkar, Ravi, Seidl, Robert, Goetze, Norbert, Kuhr, Jens, Prosvirin, Dmytro, Leone, Manuel, Kuznetsov, Andrey, Gritskevich, Anatoliy, Mpantis, Antonis, Perales, Oscar Garcia, Wenning, Bernd-Ludwig, Duttagupta, Sayon",2026,10.1007/s42979-026-05048-8,https://link.springer.com/,"Internet of things (IoT) ecosystems introduce significant cybersecurity challenges due to device heterogeneity, firmware opacity, constrained resources, distributed deployment, and the integration of devices within wider socio-technical systems where they are used. Existing approaches to address IoT cybersecurity typically address isolated aspects of this problem, such as vulnerability enumeration, anomaly detection, or risk assessment; but without integrating them across the full lifecycle of devices and systems. This paper presents an extensible architecture that unifies cybersecurity testing, runtime monitoring, contextual risk modelling, secure update mechanisms, and auditable evidence management for IoT ecosystems that aims to address these challenges. The framework supports both device under test and system under test perspectives and integrates component-level techniques (such as SBOM generation, network fuzzing, machine learning-based anomaly detection, and access control risk evaluation) with system-level, knowledge-based, risk modelling to capture threat propagation across interconnected assets. A distributed ledger-backed auditable data infrastructure ensures integrity and traceability of indicators, results, and decisions. Automated workflow orchestration enables flexible tool chaining and lifecycle-aware execution aligned with established security development lifecycles. The approach is validated through three industrial use cases in aviation cargo monitoring, smart manufacturing, and telecommunication residential gateways. Results demonstrate the feasibility of combining static analysis, runtime indicators, and dynamic risk assessment to prioritise vulnerabilities contextually, detect anomalous behaviour, and support secure patch deployment in resource-constrained environments. The work advances lifecycle-integrated, system-aware cybersecurity assurance for IoT ecosystems and highlights the need for contextualised, interoperable tooling to address systemic vulnerability and risk propagation in complex systems where IoT, ICT and people interact."
Intelligent PID-based control systems for adaptive and sustainable manufacturing,"Jamwal, Anbesh, Patidar, Akshay, Gupta, Sumit, Giallanza, Antonio",2026,10.1007/s13198-026-03315-8,https://link.springer.com/,"PID controllers remain one of the widely used control strategies in the industrial systems because of their simple structure, ease of implementation and reliable performance. However, their effectiveness remains limited in non-linear, uncertain and time varying environments. To address these limitations, this study explored the literature on PID and Fuzzy PID controllers from Scopus and Web of Science database. The study reviews the architectures, tuning methods, intelligent integrations, industrial applications and future research directions. The selected studies were examined across multiple dimensions including controller design, rule-base deployment, optimization methods, adaptative and neuro-fuzzy tuning, IoT enabled control, digital twin integration and smart manufacturing applications. The findings of the study show that PID based control has moved beyond conventional tuning methods. Recent studies shows the integration of fuzzy logic, metaheuristic optimization, machine learning, reinforcement learning and digital twins to improve robustness, tracking accuracy and real time monitoring. Fuzzy PID controllers are useful in nonlinear and uncertain operating conditions, while hybrid and AI supported variants offers improved tuning and fault handling capabilities. The review also reveals the application areas of PID in robotics, process industries, additive manufacturing and sustainable industrial operations. Despite of these advances, the literature remains fragmented across domains and lacks in standardized benchmarking and cross sector validation. Based on these research gaps, the study proposes a future research agenda based on self-tuning frameworks, explainable fuzzy rule generation, digital twin supported adaptive control and sustainability oriented multi objective tuning. The present study contributes a comprehensive synthesis of Fuzzy PID research and shows how these controllers are contributing for Industry 4.0."
A GWO-optimized dual-attention CNN-LSTM model for robust IIoT intrusion detection,"Wang, Jianjun, Mishra, Rupesh, Singh, Suman, Sinha, Anurag, Kaur, Surinder, R, Madhumathi, Mishra, Shubhang, Dedhia, Pratham",2026,10.1007/s12083-026-02241-7,https://link.springer.com/,"The rapid adoption of the Industrial Internet of Things (IIoT) in smart manufacturing and critical infrastructure has significantly increased the exposure of industrial networks to sophisticated cyber threats. Ensuring secure communication and reliable threat detection in IIoT environments has therefore become a critical challenge. This study proposes an intelligent Cyber Threat Detection and Response System that integrates a Hybrid Deep Neural Network with the Grey Wolf Optimizer to enhance security in IIoT networks. The proposed framework utilizes CyberTec IIoT Malware Dataset (CIMD‑2024) on Kaggle containing network traffic characteristics, device communication patterns, and anomaly indicators. A comprehensive data preprocessing phase is employed, including noise removal, normalization, and missing value handling, to improve data quality and model reliability. The hybrid deep learning architecture combines Convolutional Neural Networks for spatial feature extraction with Long Short-Term Memory networks to capture temporal dependencies in network behavior. Additionally, a dual-attention mechanism is incorporated to emphasize significant spatial and temporal features, thereby improving the accuracy of cyber threat classification. The Grey Wolf Optimizer is applied to optimize key hyperparameters such as learning rate, dropout rate, and batch size, leading to improved model performance. Experimental results demonstrate that the proposed model achieves an accuracy of 96.5%, outperforming several conventional machine learning approaches. Furthermore, improvements in recall and F1-score indicate enhanced capability in identifying diverse cyber threats within IIoT environments. The findings highlight the effectiveness of combining deep learning with bio-inspired optimization techniques to develop scalable and real-time cyber threat detection solutions for IIoT systems."
Reptile species classification using Swin Transformers for biodiversity conservation in the Canary Islands,"Hernández-López, Ruymán, Delgado-Rajó, Francisco A., Celada-Bernal, Sergio, Piñan-Roescher, Alejandro, Travieso-González, Carlos M.",2026,10.1007/s00371-026-04482-2,https://link.springer.com/,"The Canary Islands, internationally recognized as a biodiversity hot spot, possess unique ecological characteristics including endemic reptile species that face substantial threats from invasive alien species. Particularly, concerning is the California kingsnake ( Lampropeltis californiae ), which exhibits remarkable adaptability and inflicts severe ecological damage on endangered endemic fauna. This proposal aims to address biodiversity conservation challenges in the Canary Islands ecosystem by advancing reptile species classification through the implementation of Swin Transformer architectures. The integration of these advanced neural network architectures with conservation biology provides an automated, precise tool for species identification across different taxonomic levels that can enhance monitoring and control strategies for biodiversity preservation worldwide. This technical approach addresses urgent conservation requirements in the Canary Islands while simultaneously establishing a methodological framework applicable to other ecological contexts facing comparable biodiversity threats. The methodology employed pre-trained Swin Transformer models, initially developing fine-grained reptile species discrimination capabilities through hyperparameter optimization on a limited-scale database (160 images, 40 per species) using nested cross-validation to ensure statistical rigor and independence. The optimized configuration was subsequently transferred to a substantially larger database (4,400 images) for binary classification distinguishing snake from non-snake reptiles, where training on only 400 samples achieved 99.38% accuracy on 4,000 independent test samples, directly addressing the invasive alien species monitoring challenge. The Swin-B Transformer model demonstrated robust performance, achieving up to 100% accuracy in multiclass species classification and 99.38% accuracy in the challenging, taxonomically broader binary snake versus non-snake classification. These results establish the transferability and scalability of the hyperparameter optimization methodology across datasets of substantially different magnitudes."
"False Data Injection Attacks on Smart Grids: Attack Models, Challenges and Future Directions","Caleb, Toro Dama, Shao, Sicong, Kaabouch, Naima",2026,10.1007/s10207-026-01262-w,https://link.springer.com/,"Modernizing the electric power grid through advanced communications and intelligent devices has improved efficiency and reliability, but it has also expanded the cyberattack surface. One of the most consequential integrity threats is False Data Injection Attacks (FDIAs), which can compromise the measurements and data streams that underpin monitoring, protection, and control functions. This paper surveys FDIA research in smart grids and organizes attack targets into five domains: steady-state control; transient and auxiliary control; substation control; energy and load control; and AI-based systems. We review how attackers construct stealthy and data-driven FDIAs, summarize their physical and economic impacts, and discuss why many existing detection mechanisms remain vulnerable. Finally, we highlight open challenges and outline research directions toward resilient, attack-aware grid architectures."
Evolution of visualisation and digital twin technologies in mining,"Liang, Ruiyu, Zhang, Chengguo, Li, Binghao, Saydam, Serkan, Canbulat, Ismet",2026,10.1007/s40789-026-00866-w,https://link.springer.com/,"In the era of big data and digital twins, visualisation has emerged as a critical tool for addressing the complexities of mining digitalisation. This paper provides a systematic review of the progression of mining visualisation, aiming to identify and address the multifaceted challenges encountered in its development. The review begins by outlining the principal stages of mining visualisation evolution, highlighting the technological advancements that have shaped its trajectory. It then critically analyses interactive visualisation applications in mining, encompassing 3D design-based methods, mining method demonstrations, and visualisation-driven platforms. These analyses provide valuable insights into the breadth of research conducted in this domain. Special emphasis is placed on the role of 3R technologies, namely Virtual Reality (VR), Augmented Reality (AR), and Mixed Reality (MR), in education, training, and mining applications. The utilisation of these technologies and their limitations within the mining context are assessed, alongside exploring the criteria essential for establishing mining digital twins. Furthermore, the developmental route of mining visualisation is outlined through an extensive review of current research, identifying seven distinct stages of evolution. The key challenges are synthesised into two primary areas: data-oriented visualisation and the reconstruction and maintenance of virtual environments. These include issues related to data cleaning, spatial–temporal management, system compatibility, and the complexities of dynamic mining activities. In conclusion, this paper highlights the ongoing advancements in mining visualisation, focusing on data-driven solutions, system integration, and the transformative potential of 3R technologies. It suggests that future innovations in mining visualisation and analytics will significantly influence the sector, creating new research opportunities and technological advancements that improve efficiency, safety, and sustainability."
Foundation model-based generative AI for smart manufacturing: A paradigm shift,"Zheng, Hao, Geng, Ziyue, Xu, Xun",2026,10.1007/s42524-026-5359-0,https://link.springer.com/,"The rise of generative AI (GenAI) has prompted significant attention and discourse across academia and industry, as stakeholders grapple with its capabilities, potential applications, and associated risks. Driven by the aim to address the key question of whether and how GenAI can reshape the manufacturing industry, this paper explores the role, applications and prospects of GenAI for manufacturing. A traditional paradigm of AI implementation in manufacturing is initially outlined, followed by a review of GenAI applications in manufacturing through a proposed five-level framework characterizing the depth of GenAI integration. Building on this review and an analysis of the development trajectory of foundation models, it is argued that GenAI not only enhances each stage of the traditional paradigm but also has the potential to establish a new paradigm in smart manufacturing. In the envisioned paradigm, GenAI functions as a self-contained service provider, capable of directly addressing complex manufacturing needs with innovative solutions, while maintaining a balance between task efficiency, human well-being, environmental sustainability, and societal impacts. Aligned with the core principles of Industry 4.0 and Industry 5.0, this paradigm represents a highly desirable evolution for the manufacturing sector. Following this, a GenAI-driven product design-to-manufacturing framework is introduced to ground the paradigm in practical applications. This research provides a robust framework for understanding GenAI’s transformative trajectory in manufacturing and sets forth a research agenda for future exploration. Rather than offering definitive conclusions, this work aims to stimulate ongoing discussions and encourage further exploration in this evolving field."
Bridg-ics: AI-grounded knowledge graphs for intelligent threat analytics in industry 5.0 cyber-physical systems,"Nandiya, Padmeswari, Mohsin, Ahmad, Ibrahim, Ahmed, Sarker, Iqbal H., Janicke, Helge",2026,10.1186/s42400-026-00597-0,https://link.springer.com/,"Industry 5.0’s increasing integration of IT and OT systems is transforming industrial operations but also expanding the cyber–physical attack surface. Industrial Control Systems (ICS) face escalating security challenges as traditional siloed defenses fail to provide coherent, cross-domain threat insights. We present BRIDG-ICS (BRIDge for Industrial Control Systems), an AI-enriched Knowledge Graph (KG) framework for context-aware threat analysis and quantitative assessment of cyber resilience in smart manufacturing environments. BRIDG-ICS fuses heterogeneous industrial and cybersecurity data into an integrated Industrial Security Knowledge Graph linking assets, vulnerabilities, and adversarial behaviors with probabilistic risk metrics (e.g., exploit likelihood, attack cost). This unified graph representation enables multi-stage attack path simulation using graph-analytic techniques. To enrich the graph’s semantic depth, the framework leverages domain-specific pretrained language models (e.g., SecureBERT, CySecBERT) to extract cybersecurity entities, infer relationships, and transform natural-language threat descriptions into structured graph triples, thereby populating the knowledge graph with missing associations and latent risk indicators. The resulting AI-enriched KG supports multi-hop threat reasoning through graph-based inference, improving visibility into complex attack chains and guiding data-driven mitigation. In simulated industrial scenarios, BRIDG-ICS scales well, reduces potential attack exposure, and can enhance cyber–physical system resilience in Industry 5.0 settings."
A structured framework for defining and prioritizing quality criteria for industrial digital twins,"Maciel, Frankysia Faria, Rudek, Marcelo",2026,10.1007/s11740-026-01446-2,https://link.springer.com/,"Digital twins (DTs) have become key enablers of industrial digitalization by supporting real-time monitoring, predictive capabilities, and data-driven decision-making across manufacturing systems. Despite rapid technological advances, the literature still lacks structured and replicable approaches to assess DT quality and support acquisition and selection processes in industrial contexts. Existing studies tend to address isolated aspects (e.g., data accuracy, interoperability, cybersecurity), limiting comparability and reproducibility across applications. This study proposes a structured and decision-oriented DT quality evaluation framework for acquisition and selection contexts, defined as the first stage of a broader DT lifecycle validation perspective. The proposed approach organizes heterogeneous quality criteria into a coherent evaluation structure tailored to pre-deployment analysis in industrial environments. A hybrid multi-criteria decision-making (MCDM) approach combining the Analytic Hierarchy Process (AHP) and the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS), implemented as TOPSIS-2N (two-step normalization), is applied to compute criteria weights and rank four generalized industrial DT platform categories (A₁–A₄). The framework comprises six core dimensions: accuracy of digital representation, interoperability, operational integration, data integrity and security, accessibility, and cost-effectiveness. The results show that combining hierarchical weighting with ideal-solution ranking provides a transparent and consistent prioritization of DT quality characteristics. In addition, the proposed approach enhances traceability between expert judgments, criteria weighting, and ranking outcomes, supporting industrial stakeholders in comparing and selecting DT solutions. The proposed framework addresses a relevant gap by providing a structured, decision-oriented, and reproducible approach to DT quality evaluation in industrial acquisition contexts."
Secure authentication protocol for internet of vehicles using blockchain based authorized user detection,"Tiwari, Vijay Kumar, Kumar, Prashant",2026,10.1007/s12083-026-02235-5,https://link.springer.com/,"In recent years, the increasing connectivity in the Internet of Vehicles (IoV) has raised critical concerns regarding secure authentication and intrusion detection. The proposed methodology presents a Blockchain-based IoV Authentication Model integrated with a Deep Learning-based authorized participant detection to address these challenges. Leveraging the decentralized and tamper-proof nature of blockchain technology, the system assigns each vehicle a unique cryptographic identity, securely recorded on the blockchain to prevent unauthorized access and identity spoofing. It ensures a reliable and immutable authentication process across the network. To further enhance the security infrastructure, a deep learning-based authorized participant detection is embedded within the blockchain storage framework to detect unauthorized users in real time. The authorized participant detection is built using Lightweight Deep Dense Recurrent Model (LDDRM), which balances computational efficiency and detection accuracy. The performance of the LDDRM is further improved through the integration of an Adaptive Grouper Moray Eel (AGrME) Optimization Algorithm, which fine-tunes the model’s loss function for optimal learning and threat detection. The combined approach strengthens the IoV ecosystem by providing robust, intelligent, and scalable security solutions. In addition, the proposed framework is designed to support large-scale vehicular networks with low authentication latency and reduced computational overhead through the use of lightweight deep learning inference and consortium blockchain-based consensus."
Challenges and Opportunities for Digital Twins Supporting Smart Mobility in Autonomous Ship Navigation Through Complex Traffic Area,"Goh, Jie-Heng, Khor, Wei Han, Kang, Hooi-Siang, Siow, Chee-Loon, Xu, Haitong, Guedes Soares, C.",2026,10.1007/s11804-026-00799-5,https://link.springer.com/,"Marine traffic safety and efficiency are critical concerns, especially with the increasing complexity of shipping environments. While automation holds promise for improving these aspects, autonomous ships’ ability to navigate complex areas remains uncertain. The intricate characteristics of marine traffic, including emergency behaviour, harsh environmental conditions, traffic crossing situations, and the potential for human error on traditional ships, pose significant challenges for deploying autonomous ships. Therefore, this study explores the potential Digital Twin (DT) applications in marine traffic environments, aiming to enable safe and efficient Autonomous Ship (AS) navigation. The current rules, navigation, and path-following systems of AS are reviewed to assess their competency. At the same time, macroscopic traffic analysis models are outlined to assess the possibilities of extending navigation systems for operating in complex areas. DT is an emerging technology in the maritime industry, driven by elements of Industry 4.0 such as Artificial Intelligence (AI), machine learning, and big data. It can potentially accelerate the development of AS through the integration of macroscopic traffic information, enhancing operational safety and efficiency, as well as providing decarbonisation opportunities in the marine environment. Hence, DT is likely to facilitate a highly automated and environmentally sustainable maritime transport network, contributing to the realization of smart mobility."
RNN-based detection of IoT malware using diverse feature engineering methods,"Abd-Ellah, Mahmoud Khaled, Alsayed, Nayera A., Elkomy, Osama M., EL-Hady, Walaa M.",2026,10.1038/s41598-026-51074-0,https://link.springer.com/,"The Internet of Things (IoT) has rapidly expanded, introducing critical security vulnerabilities due to increasingly sophisticated malware that traditional detection methods struggle to identify. To enhance malware detection in IoT environments, we developed a framework leveraging recurrent neural networks (RNNs) integrated with advanced preprocessing and multilevel feature engineering techniques, including label encoding, MinMax scaling, TF-IDF, bag-of-words, word2vec, and principal component analysis. We evaluated three distinct RNN architectures on the UNSW-NB15 dataset via stratified fivefold cross-validation, and the final performance was assessed on the independent official test set, achieving progressively improved performance, with the final model demonstrating near-optimal classification results across accuracy, precision, recall, F1 score, specificity, and AUC. The results highlight the potential of combining deep learning techniques with diverse feature engineering strategies for improving malware detection in IoT environments. The proposed framework provides a scalable and experimentally validated approach for enhancing IoT malware detection against evolving threats."
BERBLOM: Blockchain-enabled reliable land ownership management system using ERC-4907 smart contract,"Nwankwo, Odinachi Udemezuo, Ansori, Muhammad Rasyid Redha, Tuli, Esmot Ara, Kim, Dong-Seong, Lee, Jae-Min",2026,10.1007/s12083-026-02227-5,https://link.springer.com/,"Land administration in Nigeria continues to face critical challenges, including document inconsistencies, opaque verification procedures, slow processing times, and persistent administrative malpractice associated with centralized and conventional, non-automated record-management systems. These systemic weaknesses create opportunities for double allocation, unauthorized alterations, and hidden registry manipulation, highlighting the need for more secure and transparent digital approaches. This paper proposes BERBLOM, a blockchain-enabled land ownership management system tailored to Nigerian land-registry workflows. The system tokenizes land parcels as ERC-4907 assets and stores supporting documents in the InterPlanetary File System (IPFS) to enhance data integrity and reduce single points of failure. BERBLOM supports practical use cases such as government plot allocation, peer-to-peer property transfers, and an on-chain leasing mechanism that automatically reverts ownership upon lease expiration. The framework operates on a permissioned Hyperledger Besu network using the Quorum Byzantine Fault Tolerance (QBFT) consensus protocol, selected for its Byzantine fault tolerance, predictable gas-free operation, and scalability under controlled conditions. Experimental evaluation indicates that QBFT maintains stable throughput and manageable latency as the number of validator nodes increases from 4 to 32. A Flutter-based decentralized application (DApp) enables real-time interaction through event-driven synchronization. While human-driven corruption and malpractice cannot be fully eliminated, the proposed prototype demonstrates how blockchain-based registries can reduce opportunities for hidden technical manipulation and improve on-chain accountability. It is important to note that the primary performance benefits of BERBLOM are realized after tokenization. Initial land registration remains dependent on legally mandated, human-driven governmental approvals; however, post-registration operations such as peer-to-peer transfers and on-chain leasing can be executed without intermediaries and complete within seconds. Consequently, the performance analysis focuses on the lifecycle stages where blockchain automation provides the greatest impact."
Modeling and Evaluation of Dependability in Robotic Telesurgery with Distance-Aware Supervised Failover,"Andrade, Ermeson, Tiengo, Willy, Silva, Francisco Airton, Nogueira, Bruno",2026,10.1007/s10922-026-10085-y,https://link.springer.com/,"Robotic telesurgery requires reliable and continuous communication between the surgeon’s console and the surgical robot. Although prior studies have examined network performance and latency, few have developed analytical models that capture how communication failures and recovery mechanisms influence system dependability, which limits the ability to anticipate risks and design resilient infrastructures. This work proposes a dependability modeling approach for robotic telesurgery, called the dependability modeling for robotic telesurgery, which integrates the main stages of the operational flow and incorporates two key elements, namely the explicit modeling of geographical distance, affecting propagation delay and message delivery probability, and a supervised failover mechanism activated after failure detection and validation. Using Stochastic Petri Nets as the underlying analytical modeling technique, the study evaluates important dependability metrics such as availability, reliability, message delivery probability, round trip time and failover time. Experimental results show how the proposed approach assesses the impact of distance and supervised failover on system behavior, revealing their effects on operational continuity and communication efficiency and providing quantitative support for the design of more reliable and predictable telesurgery infrastructures."
Mitigating cyber risks in IoT environments using ResNet50_CNN1D and Edge-IIoTset insights,"ZainEldin, Hanaa, Gamel, Samah A., Talaat, Fatma M.",2026,10.1007/s10586-026-06114-9,https://link.springer.com/,"The growing deployment of Internet of Things (IoT) infrastructures has significantly expanded the attack surface for cyber threats. To address this, we propose ResNet50_CNN1D, a novel deep learning–based intrusion detection framework designed to enhance security in IoT environments. The model synergistically combines the representational power of residual learning (ResNet50) with the feature extraction efficiency of one-dimensional convolutions (CNN1D) to effectively process complex, multivariate network traffic patterns. Evaluated on the comprehensive Edge-IIoTset benchmark dataset, our framework achieves an overall accuracy of 94%. It exhibits robust multi-class detection capabilities, performing strongly against prevalent attacks such as DDoS and ransomware. A detailed class-wise performance analysis confirms the model’s efficacy while also revealing specific challenges in detecting minority attack classes. The findings underscore the proposed framework’s potential as an effective solution for scalable and accurate intrusion detection in IoT networks."
